Year,State Name,aqi_index,level_counts
2021,Utah,Unhealthy,19
2021,Utah,Unhealthy for Sensitive Groups,264
2022,Utah,Moderate,116
2022,Utah,Unhealthy for Sensitive Groups,1
2020,Vermont,Moderate,12
2021,Vermont,Moderate,32
2020,Virginia,Moderate,136
2020,Virginia,Unhealthy,3
2020,Virginia,Unhealthy for Sensitive Groups,7
2021,Virginia,Moderate,443
2021,Virginia,Unhealthy for Sensitive Groups,21
2022,Virginia,Moderate,36
2022,Virginia,Unhealthy for Sensitive Groups,2
2020,Washington,Moderate,104
2020,Washington,Unhealthy for Sensitive Groups,4
2021,Washington,Moderate,152
2021,Washington,Unhealthy,2
2021,Washington,Unhealthy for Sensitive Groups,10
2020,West Virginia,Moderate,122
2020,West Virginia,Unhealthy for Sensitive Groups,4
2021,West Virginia,Moderate,216
2021,West Virginia,Unhealthy for Sensitive Groups,5
2022,West Virginia,Moderate,8
2020,Wisconsin,Moderate,531
2020,Wisconsin,Unhealthy,8
2020,Wisconsin,Unhealthy for Sensitive Groups,83
2021,Wisconsin,Moderate,965
2021,Wisconsin,Unhealthy for Sensitive Groups,65
2022,Wisconsin,Moderate,3
2022,Wisconsin,Unhealthy for Sensitive Groups,2
2020,Wyoming,Moderate,735
2020,Wyoming,Unhealthy for Sensitive Groups,39
2021,Wyoming,Moderate,1607
2021,Wyoming,Unhealthy,1
2021,Wyoming,Unhealthy for Sensitive Groups,91
2022,Wyoming,Moderate,1
